Date,Open,High,Low,Close,Adj Close,Volume
2021-03-15,36.000000,36.480000,35.200001,36.480000,36.118557,114200
2021-03-16,36.419998,36.500000,35.549999,36.049999,35.692818,72200
2021-03-17,36.230000,36.520000,35.580002,36.270000,35.910637,66000
2021-03-18,36.119999,36.959999,36.119999,36.810001,36.445286,91100
2021-03-19,36.820000,38.220001,36.730000,36.820000,36.455185,391600
2021-03-22,36.950001,37.130001,36.099998,36.549999,36.187862,113000
2021-03-23,36.240002,36.520000,35.270000,35.380001,35.029457,111400
2021-03-24,35.790001,36.160000,34.549999,34.650002,34.306686,119000
2021-03-25,34.389999,35.060001,33.709999,34.939999,34.593815,75700
2021-03-26,35.119999,35.290001,34.669998,35.240002,34.890846,54100
2021-03-29,34.959999,35.570000,34.910000,35.099998,34.752228,83300
2021-03-30,35.189999,35.680000,34.950001,35.110001,34.762131,87100
2021-03-31,35.349998,36.480000,34.980000,35.189999,34.841339,221800
2021-04-01,35.270000,36.340000,35.099998,36.139999,35.781925,111400
2021-04-05,36.580002,36.849998,36.200001,36.529999,36.168060,114000
2021-04-06,36.650002,36.930000,36.349998,36.660000,36.296776,66100
2021-04-07,36.549999,36.680000,35.570000,35.759998,35.405689,83300
2021-04-08,35.750000,35.790001,34.910000,35.320000,34.970051,116200
2021-04-09,35.380001,35.419998,35.090000,35.220001,34.871040,52600
2021-04-12,35.130001,35.340000,34.869999,35.230000,34.880943,43200
2021-04-13,35.119999,35.610001,34.959999,35.279999,34.930447,53900
2021-04-14,35.250000,36.389999,35.130001,36.099998,35.742321,84500
2021-04-15,36.290001,36.290001,35.250000,35.500000,35.148270,33800
2021-04-16,35.770000,35.910000,35.250000,35.830002,35.474998,52100
2021-04-19,35.700001,36.119999,35.299999,35.840000,35.484898,75500
2021-04-20,36.009998,36.139999,35.230000,35.990002,35.633415,104600
2021-04-21,36.080002,36.639999,35.830002,36.029999,35.673012,55000
2021-04-22,36.900002,38.209999,36.380001,37.689999,37.316563,184800
2021-04-23,38.340000,38.990002,37.770000,37.919998,37.544285,107400
